antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'DEXTILE RIGHT ANT. MESH 16X12C', 'טרוקר אקסל ללא סכין 11 B11LT'})","frozenset({'CAPSURE טאקר 30', 'DEXTILE LEFT ANT. MESH 16X12CM'})",0.058666666666666666,0.05706666666666667,0.05653333333333333,0.9636363636363636,16.886151231945625,1.0,0.05318542222222222,25.930666666666657,0.9994120476775883,0.954954954954955,0.961435623200329,0.9771452846219201
"frozenset({'CAPSURE טאקר 30', 'DEXTILE LEFT ANT. MESH 16X12CM'})","frozenset({'DEXTILE RIGHT ANT. MESH 16X12C', 'טרוקר אקסל ללא סכין 11 B11LT'})",0.05706666666666667,0.058666666666666666,0.05653333333333333,0.9906542056074765,16.88615123194562,1.0,0.05318542222222222,100.72266666666546,0.9977162127550586,0.954954954954955,0.9900717481665827,0.9771452846219201
"frozenset({'טרוקר אקסל ללא סכין 11 B11LT', 'DEXTILE LEFT ANT. MESH 16X12CM'})","frozenset({'CAPSURE טאקר 30', 'DEXTILE RIGHT ANT. MESH 16X12C'})",0.058133333333333335,0.0576,0.05653333333333333,0.9724770642201834,16.88328236493374,1.0,0.05318485333333333,34.24053333333326,0.9988354452018205,0.954954954954955,0.970794847432283,0.9769792728508324
"frozenset({'CAPSURE טאקר 30', 'DEXTILE RIGHT ANT. MESH 16X12C'})","frozenset({'טרוקר אקסל ללא סכין 11 B11LT', 'DEXTILE LEFT ANT. MESH 16X12CM'})",0.0576,0.058133333333333335,0.05653333333333333,0.9814814814814815,16.88328236493374,1.0,0.05318485333333333,50.860800000000076,0.9982701733030079,0.954954954954955,0.980338492512898,0.9769792728508324
"frozenset({'בלון דו צדדי PDBS2', 'PROGRIP ANTMCL 15X10CM-RIGHT'})","frozenset({'בלון אמצעי T10SB', 'PROGRIP ANTMCL 15X10CM-LEFT'})",0.06133333333333333,0.0592,0.0592,0.9652173913043479,16.304347826086957,1.0,0.05556906666666667,27.04800000000007,1.0,0.965217391304348,0.9630286897367644,0.982608695652174
"frozenset({'בלון אמצעי T10SB', 'PROGRIP ANTMCL 15X10CM-LEFT'})","frozenset({'בלון דו צדדי PDBS2', 'PROGRIP ANTMCL 15X10CM-RIGHT'})",0.0592,0.06133333333333333,0.0592,1.0,16.304347826086957,1.0,0.05556906666666667,inf,0.9977324263038548,0.965217391304348,1.0,0.982608695652174
"frozenset({'PROGRIP ANTMCL 15X10CM-LEFT', 'בלון דו צדדי PDBS2'})","frozenset({'בלון אמצעי T10SB', 'PROGRIP ANTMCL 15X10CM-RIGHT'})",0.06026666666666667,0.06026666666666667,0.0592,0.9823008849557522,16.299240347717127,1.0,0.05556792888888889,53.09493333333325,0.9988444744403882,0.9652173913043478,0.9811658111759565,0.9823008849557522
"frozenset({'בלון אמצעי T10SB', 'PROGRIP ANTMCL 15X10CM-RIGHT'})","frozenset({'PROGRIP ANTMCL 15X10CM-LEFT', 'בלון דו צדדי PDBS2'})",0.06026666666666667,0.06026666666666667,0.0592,0.9823008849557522,16.299240347717127,1.0,0.05556792888888889,53.09493333333325,0.9988444744403882,0.9652173913043478,0.9811658111759565,0.9823008849557522
frozenset({'DEXTILE LEFT ANT. MESH 16X12CM'}),"frozenset({'DEXTILE RIGHT ANT. MESH 16X12C', 'טרוקר אקסל ללא סכין 11 B11LT'})",0.0672,0.058666666666666666,0.058133333333333335,0.8650793650793651,14.745670995670997,1.0,0.05419093333333334,6.97694117647059,0.9993390718680663,0.8582677165354333,0.8566707136112236,0.927994227994228
"frozenset({'DEXTILE RIGHT ANT. MESH 16X12C', 'טרוקר אקסל ללא סכין 11 B11LT'})",frozenset({'DEXTILE LEFT ANT. MESH 16X12CM'}),0.058666666666666666,0.0672,0.058133333333333335,0.990909090909091,14.745670995670997,1.0,0.05419093333333334,102.60800000000059,0.9902799074771942,0.8582677165354333,0.9902541712147201,0.927994227994228
